nmls,pro_score,pro_ranking,uwm_production,overall_production,conv_mix,fha_mix,va_mix,usda_mix,other_loan_types_mix,purchase_pct,refi_pct,jan_closings,feb_closings,march_closings,total_ytd_closings
1062241,125,PRO Elite 120,284.0,366.0,29.23,20.42,50.35,0.00,0.00,90.49,9.51,20,19,22,61
411962,65,PRO Plus,106.0,133.0,70.75,5.66,23.58,0.00,0.01,37.74,62.26,6,7,5,18
318845,105,PRO Elite 100,77.0,137.0,76.62,10.39,12.99,0.00,0.00,59.74,40.26,1,6,9,16
232097,95,PRO Elite,76.0,95.0,90.79,1.32,7.89,0.00,0.00,68.42,31.58,4,7,2,13
587341,88,PRO Elite,154.0,210.0,68.40,14.10,16.00,0.50,1.00,72.15,27.85,9,10,8,27
674208,73,PRO Plus,98.0,145.0,82.50,4.50,11.50,0.75,0.75,61.20,38.80,5,6,4,15
145992,112,PRO Elite 100,205.0,278.0,55.00,18.50,24.00,1.00,1.50,84.30,15.70,14,13,12,39
923114,67,PRO Plus,76.0,101.0,88.00,3.00,8.00,0.50,0.50,48.60,51.40,4,3,5,12
781506,95,PRO Elite,133.0,182.0,63.25,11.75,24.00,0.50,0.50,69.45,30.55,8,7,9,24
264889,121,PRO Elite 120,312.0,401.0,47.00,23.00,27.00,1.00,2.00,91.00,9.00,21,18,20,59
350771,84,PRO Elite,118.0,167.0,74.00,9.00,15.00,1.00,1.00,58.35,41.65,7,6,8,21
498203,59,PRO Plus,52.0,80.0,91.00,2.00,6.00,0.50,0.50,44.20,55.80,3,4,2,9
612455,104,PRO Elite 100,224.0,315.0,58.00,17.00,22.00,1.00,2.00,79.80,20.20,15,14,13,42
729318,128,PRO Elite 120,355.0,448.0,41.00,26.00,30.00,1.00,2.00,92.40,7.60,24,22,23,69
843907,91,PRO Elite,146.0,198.0,66.00,12.00,20.00,1.00,1.00,64.75,35.25,9,8,10,27
157640,77,PRO Plus,109.0,152.0,79.00,7.00,12.00,1.00,1.00,57.10,42.90,6,7,5,18
286514,115,PRO Elite 100,241.0,332.0,53.00,21.00,23.00,1.00,2.00,86.25,13.75,16,15,14,45
394880,69,PRO Plus,81.0,119.0,85.00,5.00,8.50,0.75,0.75,50.40,49.60,5,4,4,13
455129,97,PRO Elite,171.0,225.0,60.00,15.00,23.00,1.00,1.00,73.30,26.70,11,10,12,33
566742,108,PRO Elite 100,229.0,304.0,57.50,16.50,23.00,1.50,1.50,81.60,18.40,14,15,13,42
608391,62,PRO Plus,64.0,94.0,89.00,3.00,7.00,0.50,0.50,46.85,53.15,4,3,3,10
717205,123,PRO Elite 120,318.0,420.0,45.00,24.00,28.00,1.00,2.00,90.20,9.80,20,19,18,57
824166,87,PRO Elite,126.0,174.0,71.00,10.00,17.00,1.00,1.00,62.55,37.45,8,7,8,23
931420,71,PRO Plus,93.0,128.0,83.00,6.00,9.00,1.00,1.00,54.90,45.10,5,5,4,14
102584,118,PRO Elite 100,254.0,340.0,51.00,20.00,26.00,1.00,2.00,87.40,12.60,17,16,15,48
219763,82,PRO Elite,121.0,163.0,75.00,8.00,15.00,1.00,1.00,60.05,39.95,7,7,7,21
337918,56,PRO Plus,47.0,73.0,92.00,2.50,4.50,0.50,0.50,41.90,58.10,2,3,3,8
446275,101,PRO Elite 100,214.0,289.0,59.00,16.00,22.00,1.00,2.00,78.95,21.05,13,14,12,39
558904,89,PRO Elite,139.0,186.0,67.00,11.00,20.00,1.00,1.00,66.40,33.60,9,9,9,27
690137,126,PRO Elite 120,333.0,437.0,43.00,25.00,29.00,1.00,2.00,93.10,6.90,22,21,20,63
