nmls,pro_score,pro_ranking,uwm_production,overall_production,conv_mix,fha_mix,va_mix,usda_mix,other_loan_types_mix,purchase_pct,refi_pct,jan_closings,feb_closings,march_closings,total_ytd_closings,pair_id,assignment,twin_nmls,pair_distance
350771,84,PRO Elite,118.0,167.0,74.0,9.0,15.0,1.0,1.0,58.35,41.65,7,6,8,21,1,control,219763,0.1982
219763,82,PRO Elite,121.0,163.0,75.0,8.0,15.0,1.0,1.0,60.05,39.95,7,7,7,21,1,treatment,350771,0.1982
843907,91,PRO Elite,146.0,198.0,66.0,12.0,20.0,1.0,1.0,64.75,35.25,9,8,10,27,2,control,558904,0.2379
558904,89,PRO Elite,139.0,186.0,67.0,11.0,20.0,1.0,1.0,66.4,33.6,9,9,9,27,2,treatment,843907,0.2379
337918,56,PRO Plus,47.0,73.0,92.0,2.5,4.5,0.5,0.5,41.9,58.1,2,3,3,8,3,control,498203,0.2786
498203,59,PRO Plus,52.0,80.0,91.0,2.0,6.0,0.5,0.5,44.2,55.8,3,4,2,9,3,treatment,337918,0.2786
264889,121,PRO Elite 120,312.0,401.0,47.0,23.0,27.0,1.0,2.0,91.0,9.0,21,18,20,59,4,control,717205,0.31
717205,123,PRO Elite 120,318.0,420.0,45.0,24.0,28.0,1.0,2.0,90.2,9.8,20,19,18,57,4,treatment,264889,0.31
923114,67,PRO Plus,76.0,101.0,88.0,3.0,8.0,0.5,0.5,48.6,51.4,4,3,5,12,5,control,608391,0.3533
608391,62,PRO Plus,64.0,94.0,89.0,3.0,7.0,0.5,0.5,46.85,53.15,4,3,3,10,5,treatment,923114,0.3533
394880,69,PRO Plus,81.0,119.0,85.0,5.0,8.5,0.75,0.75,50.4,49.6,5,4,4,13,6,control,931420,0.3787
931420,71,PRO Plus,93.0,128.0,83.0,6.0,9.0,1.0,1.0,54.9,45.1,5,5,4,14,6,treatment,394880,0.3787
446275,101,PRO Elite 100,214.0,289.0,59.0,16.0,22.0,1.0,2.0,78.95,21.05,13,14,12,39,7,control,612455,0.384
612455,104,PRO Elite 100,224.0,315.0,58.0,17.0,22.0,1.0,2.0,79.8,20.2,15,14,13,42,7,treatment,446275,0.384
102584,118,PRO Elite 100,254.0,340.0,51.0,20.0,26.0,1.0,2.0,87.4,12.6,17,16,15,48,8,control,286514,0.426
286514,115,PRO Elite 100,241.0,332.0,53.0,21.0,23.0,1.0,2.0,86.25,13.75,16,15,14,45,8,treatment,102584,0.426
729318,128,PRO Elite 120,355.0,448.0,41.0,26.0,30.0,1.0,2.0,92.4,7.6,24,22,23,69,9,control,690137,0.49
690137,126,PRO Elite 120,333.0,437.0,43.0,25.0,29.0,1.0,2.0,93.1,6.9,22,21,20,63,9,treatment,729318,0.49
674208,73,PRO Plus,98.0,145.0,82.5,4.5,11.5,0.75,0.75,61.2,38.8,5,6,4,15,10,control,157640,0.5196
157640,77,PRO Plus,109.0,152.0,79.0,7.0,12.0,1.0,1.0,57.1,42.9,6,7,5,18,10,treatment,674208,0.5196
566742,108,PRO Elite 100,229.0,304.0,57.5,16.5,23.0,1.5,1.5,81.6,18.4,14,15,13,42,11,control,145992,0.5671
145992,112,PRO Elite 100,205.0,278.0,55.0,18.5,24.0,1.0,1.5,84.3,15.7,14,13,12,39,11,treatment,566742,0.5671
824166,87,PRO Elite,126.0,174.0,71.0,10.0,17.0,1.0,1.0,62.55,37.45,8,7,8,23,12,control,587341,0.9331
587341,88,PRO Elite,154.0,210.0,68.4,14.1,16.0,0.5,1.0,72.15,27.85,9,10,8,27,12,treatment,824166,0.9331
781506,95,PRO Elite,133.0,182.0,63.25,11.75,24.0,0.5,0.5,69.45,30.55,8,7,9,24,13,control,455129,0.937
455129,97,PRO Elite,171.0,225.0,60.0,15.0,23.0,1.0,1.0,73.3,26.7,11,10,12,33,13,treatment,781506,0.937
